Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C6, C7, C8, C9, CNEXTTOTEN1",0805,7,10uF,
"C10, C15, C18, C19, C25, C26, C27, C28, C29, C38, C42, C43, C45",0805,13,100nF,
"C11, C24",0402,2,2.2uF,
"C12, C13, C14, C16, C17",0805,5,22uF,
C2,0805,1,44uF,
C20,0805,1,10nF,
"C21, C23",0402,2,0.1uF,
C22,0402,1,2.2nF,
"C30, C31, C32, C33, C44",0402,5,1uF,
"C34, C35",0805,2,20pF,
"C36, C37",0402,2,6.8pF,
C4,0805,1,1uF,
C5,0805,1,47nF,
CARD1,TF-SMD_TF-01A,1,TF-01A,C91145
D1,0402,1,LED,
J1,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,Screw_Terminal_01x02,
"J2, J3",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
L1,L2520,1,1uH,
L2,IND-SMD_L4.0-W4.0-A,1,1.5uH,
L3,IND-SMD_L3.0-W3.0,1,5.6uH,
L4,L0603,1,FCM1608KF-601T03,C141723
"R1, R2",0402,2,5.1K,
"R10, R12, R13, R16, R17, R18, R19, R20, R21, R24, R27, R3, R4, R5, R6, R7",0402,16,10K,
R11,0402,1,30.1K,
R14,0402,1,100K,
R15,0402,1,22.1K,
"R22, R23",0402,2,4.7K,
R25,0805,1,200K,
R26,0805,1,100K,
R8,0402,1,383,
R9,0402,1,5.23K,
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477
U1,VFQFPN-24_L4.0-W4.0-P0.50-BL-EP2.8,1,BQ25883RGER,C544362
U2,LQFP-64_10x10mm_P0.5mm,1,STM32F722RET6,
U3,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,
U4,VQFN-15_L3.0-W2.5-P0.50-BL,1,TPS63070RNMR,C109322
U5,SOT-23-6,1,LMR51430,
U6,LGA-10_L2.0-W2.0-P0.50-TL_BMP580,1,BMP580,C22391138
U8,ublox_SAM-M8Q,1,SAM-M8Q,
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322525MOB4SI,C9006
X2,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346
